_id,created_at,full_text,id,polarity,sentiment,subjectivity,user
635002a82910532203475571,2022-10-18T00:00:00.000Z,13-year-old Lavell Winslow was shot and killed Friday at a birthday party in Lerner Park and 66-year old Salim Khamo was shot and killed during an attempted robbery at J&amp;K Food and Liquor Monday night. #ChicagoScanner #gunviolence @chicagotribune https://t.co/Cq3QJ4UoLv,1582516138675953665,-0.10000000000000002,mitigé/informatif,0.06666666666666667,739230290
635002a82910532203475572,2022-10-18T00:00:00.000Z,"#debatenight #ValDemings4Senate 

@RepValDemings calling out Rubio on #guncontrol is 🔥🔥🔥🔥🔥🔥 https://t.co/JehOLlvdb8",1582515089680527361,0,mitigé/informatif,0,834613306744827904
635002a8291053220347556f,2022-10-18T00:00:00.000Z,@Acyn What a load of malarkey! #guncontrol,1582521102420484096,0,mitigé/informatif,0,1296633273909641216
635002a82910532203475573,2022-10-18T00:00:00.000Z,"Another homicide in West Rogers Park/West Ridge (my neighborhood). CPD works the scene where two people were shot inside a vehicle, one fatally, in the 2500 block of West Estes Avenue Tuesday, Oct. 18, 2022 in Chicago. No details atm. #ChicagoScanner #gunviolence @chicagotribune https://t.co/c5E5wa3O67",1582514591363305472,0,mitigé/informatif,0,739230290
635002a82910532203475574,2022-10-18T00:00:00.000Z,"Liddle @marcorubio tosses up the biggest canard of the #guncontrol debate that if we pass sensible gun regulations only law abiding citizens will abide by them. If that were the case, then why pass ANY laws? #EnoughIsEnough #AssaultWeaponsBanNow",1582514509750886400,0,mitigé/informatif,1,14117880
635002a82910532203475570,2022-10-18T00:00:00.000Z,Good for her. #USA #gunviolence https://t.co/bwlehlJH9o,1582520590874791936,0.7,très positif,0.6000000000000001,849096072
635002a82910532203475576,2022-10-18T00:00:00.000Z,What your back in #RedStates @GOP #MurderRates #GunViolence https://t.co/yqwvL3YB4n,1582510482375602176,0,mitigé/informatif,0,1573107234
635002a82910532203475577,2022-10-18T00:00:00.000Z,@RepMikeJohnson You refuse to address #GunViolence that actually harms children!! You refuse to address poverty that actually harms children. Republicans are hypocritical liars!! #GOPFail #GOPLies #Bigotry #GOPBetrayedAmerica #GOPHates #LGBT,1582510159548776449,0,mitigé/informatif,0.1,570121611
635002a82910532203475575,2022-10-18T00:00:00.000Z,Oh hell yes @valdemings! #GunControlNow #GunControl #GunReform #RetireRubio,1582514077783687169,0,mitigé/informatif,0,1366563527016804352
635002a82910532203475578,2022-10-18T00:00:00.000Z,"Remember this when the #GOP claims that guns are pouring into the US from Mexico. It's the other way around. #guncontrol  
Mexico sues Arizona gun stores as seizures continue at Nogales ports https://t.co/y51Bw5fzFF via @nogalesnews",1582510102753341440,-0.0875,mitigé/informatif,0.1875,820317463
635002a82910532203475579,2022-10-18T00:00:00.000Z,"LIES. Republicans voted against Biden's Inflation Reduction Act that lowers costs to Americans. GOP refuses to pass #GunSafety to stop the murder of school children &amp; adults from #Gunviolence. GOP votes against EVERYTHING to help the American people, look at GOP voting record! https://t.co/OyhuYjIWwu",1582510000785657857,0,mitigé/informatif,0,996585149344108545
635002a8291053220347557b,2022-10-18T00:00:00.000Z,@JoeBiden By assault weapons I hope you mean any semi automatic rifle or handgun! #guncontrol #realhuntersneedoneshot,1582506858279219201,-0.390625,plutôt négatif,0.6875,1539004060363329537
635002a8291053220347557a,2022-10-18T00:00:00.000Z,"My AR-15 identifies as a musket

Don't like guns? Don't have one.

@HerschelWalker  
#assault #GunViolence #gunrights #NRA #BanAssaultWeaponsNow #GunControlNow #guncontrol #GunReformNow #GunSafetyNow #GunOwnersForSafety #GunControlWorks #AssaultWeaponsBan #ar15 #AR15s #Communism https://t.co/jsHKiOEYL2",1582509235560386561,0,mitigé/informatif,0,323173230
635002a8291053220347557c,2022-10-18T00:00:00.000Z,"That is not the crisis facing America, it's deadly #gunviolence that is murdering school children &amp; adults in America! But GOP REFUSES to pass #GunSafetyLaws to save school children &amp; adults in America from #GunViolence. #VoteBlueForGunSafety #VoteBlueToProtectOurKidsFromGuns ⬇️ https://t.co/LcLpxKvc9X",1582504453583753216,-0.25,plutôt négatif,0.4,996585149344108545
635002a8291053220347557d,2022-10-18T00:00:00.000Z,"Gun manufacturers testfire every firearm they produce. WHY can't they be REQUIRED to record those spent shell casings w/ #NIBIN ?  Doesn't seem like much of an ask considering. 
#VoteBlue
#guncontrol #gunsafety https://t.co/WDL96tey7l",1582500896671293445,0.05,mitigé/informatif,0.15000000000000002,724107109470756864
635002a8291053220347557e,2022-10-18T00:00:00.000Z,I want to throw up seeing this in USA #guncontrol https://t.co/bp0ogIL3we,1582500881659940864,0,mitigé/informatif,0,402267215
635002a8291053220347557f,2022-10-18T00:00:00.000Z,"The media tells us that bump stocks were the catalyst in this horrible act, but the FBI apparently referred to “prohibited firearms” as the weapon of choice in this attack.  So what is the truth?

#fbi #DefundTheFBI #guns #falseflag #ammoland #bumpstocks #guncontrol #atf https://t.co/uWBywlenkJ",1582499062653206528,-0.475,plutôt négatif,0.675,26860209
635002a82910532203475580,2022-10-18T00:00:00.000Z,WTF Texas?! #TikTok https://t.co/ydlAr1Xty8 #TexasDeservesBetter #guncontrol,1582498653578502144,-0.625,très négatif,1,1137347316162150400
635002a82910532203475581,2022-10-18T00:00:00.000Z,@JoyAnnReid One should be made of Abbott sending out the DNA/fingerprint packets to parents  #EnoughlsEnough #guncontrol,1582498249075617792,0,mitigé/informatif,0,169620244
635002a82910532203475582,2022-10-18T00:00:00.000Z,So tired of babies killing babies. This happened right across the street from our apartment! STOP #GUNviolence restrict the people from owning a gun who don’t have the knowledge of these weapons to stop this crap from happening. https://t.co/Eeg5cmcKbs,1582496775918583808,-0.280952380952381,plutôt négatif,0.6785714285714285,1582388267466596352
635002a82910532203475584,2022-10-18T00:00:00.000Z,"Assault weapons are used to mass kill at war. It has no need or place in our communities.  Pass it on!
#GUNviolence #EnoughlsEnough https://t.co/yS3IlAdHVi",1582494971910684675,0,mitigé/informatif,0,31417953
